Store,DayOfWeek,Promo,SchoolHoliday,CompetitionDistance,CompetitionOpenSinceMonth,CompetitionOpenSinceYear,Promo2,Promo2SinceWeek,Promo2SinceYear,Year,Month,Day,WeekOfYear,IsWeekend,IsPromo,StoreType_b,StoreType_c,StoreType_d,Assortment_b,Assortment_c,StateHoliday_0,StateHoliday_a,StateHoliday_b,StateHoliday_c
785,1,1,0,970.0,7.0,2005.0,1,31.0,2013.0,2015,5,19,21,0,1,0,0,1,0,1,1,0,0,0
680,1,0,0,170.0,0.0,0.0,1,35.0,2012.0,2015,6,23,26,0,0,0,1,0,0,0,1,0,0,0
574,0,0,0,4400.0,0.0,0.0,0,0.0,0.0,2015,7,6,28,0,0,0,0,1,0,0,1,0,0,0
988,1,1,0,30.0,11.0,2012.0,0,0.0,0.0,2015,4,28,18,0,1,0,0,0,0,0,1,0,0,0
639,3,0,1,7780.0,11.0,2006.0,0,0.0,0.0,2015,7,23,30,0,0,0,0,0,0,0,1,0,0,0
503,1,1,1,13080.0,9.0,2006.0,1,14.0,2011.0,2015,7,28,31,0,1,0,0,1,0,1,1,0,0,0
679,5,0,0,4140.0,9.0,2012.0,0,0.0,0.0,2015,2,21,8,1,0,0,0,0,0,0,1,0,0,0
912,5,0,0,3100.0,5.0,2010.0,0,0.0,0.0,2015,5,16,20,1,0,0,1,0,0,1,1,0,0,0
276,1,1,0,2960.0,10.0,2014.0,1,36.0,2013.0,2015,6,30,27,0,1,0,0,0,0,0,1,0,0,0
913,3,0,0,280.0,0.0,0.0,0,0.0,0.0,2015,2,12,7,0,0,0,0,0,0,0,1,0,0,0
842,4,1,0,1200.0,11.0,2007.0,0,0.0,0.0,2015,1,9,2,0,1,0,0,1,0,1,1,0,0,0
267,1,1,1,2460.0,1.0,2012.0,0,0.0,0.0,2015,7,28,31,0,1,0,1,0,0,0,1,0,0,0
964,5,0,0,270.0,0.0,0.0,1,5.0,2013.0,2015,7,4,27,1,0,0,0,0,0,0,1,0,0,0
558,0,1,0,3000.0,2.0,2010.0,0,0.0,0.0,2015,5,4,19,0,1,0,0,0,0,0,1,0,0,0
215,1,0,1,150.0,0.0,0.0,1,45.0,2009.0,2015,5,26,22,0,0,0,0,1,0,0,1,0,0,0
192,1,1,1,2770.0,3.0,2008.0,1,40.0,2014.0,2015,3,31,14,0,1,0,0,1,0,1,1,0,0,0
188,1,1,0,850.0,0.0,0.0,1,18.0,2011.0,2015,4,14,16,0,1,0,0,1,0,0,1,0,0,0
509,2,0,0,4740.0,7.0,2008.0,1,37.0,2009.0,2015,5,13,20,0,0,0,0,0,0,0,1,0,0,0
467,2,0,1,20390.0,4.0,2008.0,0,0.0,0.0,2015,7,22,30,0,0,0,0,0,0,1,1,0,0,0
446,1,1,0,340.0,10.0,2000.0,1,31.0,2013.0,2015,5,5,19,0,1,0,0,0,0,0,1,0,0,0
441,5,0,0,2530.0,0.0,0.0,0,0.0,0.0,2015,3,21,12,1,0,0,0,1,0,0,1,0,0,0
311,5,0,1,680.0,7.0,2005.0,0,0.0,0.0,2015,4,4,14,1,0,0,0,0,0,1,1,0,0,0
420,3,0,0,250.0,0.0,0.0,1,27.0,2012.0,2015,4,23,17,0,0,0,0,1,0,1,1,0,0,0
836,3,1,1,2720.0,9.0,2012.0,0,0.0,0.0,2015,7,16,29,0,1,0,0,0,0,0,1,0,0,0
507,3,1,0,9070.0,4.0,2011.0,1,37.0,2009.0,2015,4,30,18,0,1,0,0,0,0,1,1,0,0,0
427,2,0,0,70.0,7.0,2005.0,1,13.0,2010.0,2015,6,24,26,0,0,0,0,0,0,1,1,0,0,0
65,3,0,0,13840.0,5.0,2010.0,1,1.0,2012.0,2015,6,25,26,0,0,0,0,0,0,1,1,0,0,0
836,2,1,0,2720.0,9.0,2012.0,0,0.0,0.0,2015,5,6,19,0,1,0,0,0,0,0,1,0,0,0
488,2,0,1,2890.0,4.0,2014.0,0,0.0,0.0,2015,7,22,30,0,0,0,0,0,0,1,1,0,0,0
1024,5,0,0,1990.0,1.0,2012.0,0,0.0,0.0,2015,4,25,17,1,0,0,1,0,0,1,1,0,0,0
934,3,1,1,5460.0,0.0,0.0,1,14.0,2011.0,2015,4,2,14,0,1,0,0,0,0,1,1,0,0,0
115,5,0,0,5740.0,4.0,2007.0,1,40.0,2014.0,2015,1,3,1,1,0,0,0,1,0,1,1,0,0,0
638,0,1,0,10170.0,11.0,2001.0,0,0.0,0.0,2015,6,29,27,0,1,0,0,1,0,0,1,0,0,0
451,4,1,0,2460.0,4.0,2009.0,1,13.0,2010.0,2015,6,5,23,0,1,0,0,0,0,0,1,0,0,0
80,5,0,0,7910.0,0.0,0.0,0,0.0,0.0,2015,2,14,7,1,0,0,0,1,0,0,1,0,0,0
709,4,0,0,500.0,12.0,2010.0,0,0.0,0.0,2015,3,13,11,0,0,0,0,0,0,0,1,0,0,0
605,2,1,0,10310.0,4.0,2003.0,1,37.0,2009.0,2015,2,4,6,0,1,0,0,1,0,0,1,0,0,0
161,1,1,1,2970.0,3.0,2005.0,0,0.0,0.0,2015,3,31,14,0,1,0,0,0,0,1,1,0,0,0
723,0,1,0,5650.0,9.0,2008.0,1,5.0,2013.0,2015,2,2,6,0,1,0,0,1,0,1,1,0,0,0
755,1,1,0,13130.0,12.0,2003.0,0,0.0,0.0,2015,2,17,8,0,1,0,0,1,0,1,1,0,0,0
586,5,0,0,250.0,10.0,2008.0,0,0.0,0.0,2015,7,25,30,1,0,0,0,0,0,1,1,0,0,0
1081,5,0,0,400.0,3.0,2006.0,0,0.0,0.0,2015,2,21,8,1,0,1,0,0,0,0,1,0,0,0
87,3,0,1,560.0,12.0,2010.0,0,0.0,0.0,2015,7,23,30,0,0,0,0,0,0,0,1,0,0,0
557,4,0,1,250.0,0.0,0.0,0,0.0,0.0,2015,1,2,1,0,0,0,0,0,0,0,1,0,0,0
487,4,0,0,2180.0,9.0,2012.0,1,40.0,2012.0,2015,2,27,9,0,0,0,0,1,0,1,1,0,0,0
978,1,1,1,3890.0,0.0,0.0,0,0.0,0.0,2015,7,28,31,0,1,0,1,0,0,1,1,0,0,0
127,3,1,0,1350.0,12.0,2005.0,1,13.0,2010.0,2015,3,5,10,0,1,0,0,1,0,0,1,0,0,0
320,3,0,0,210.0,9.0,2012.0,0,0.0,0.0,2015,2,26,9,0,0,0,0,0,0,1,1,0,0,0
393,5,0,0,4820.0,3.0,2008.0,0,0.0,0.0,2015,2,14,7,1,0,0,0,1,0,1,1,0,0,0
1007,1,1,0,4180.0,9.0,2012.0,0,0.0,0.0,2015,3,3,10,0,1,0,1,0,0,1,1,0,0,0
372,0,0,1,4880.0,8.0,2010.0,1,18.0,2014.0,2015,7,6,28,0,0,0,0,1,0,1,1,0,0,0
574,1,0,0,4400.0,0.0,0.0,0,0.0,0.0,2015,7,21,30,0,0,0,0,1,0,0,1,0,0,0
354,4,1,0,1500.0,10.0,2005.0,0,0.0,0.0,2015,4,17,16,0,1,0,0,1,0,1,1,0,0,0
1011,4,1,0,490.0,9.0,2012.0,1,18.0,2011.0,2015,3,20,12,0,1,0,0,0,0,1,1,0,0,0
825,5,0,0,380.0,5.0,2011.0,1,40.0,2014.0,2015,5,30,22,1,0,0,0,0,0,0,1,0,0,0
817,0,1,1,140.0,3.0,2006.0,0,0.0,0.0,2015,7,27,31,0,1,0,0,0,0,0,1,0,0,0
158,1,0,0,11840.0,0.0,0.0,1,31.0,2009.0,2015,2,24,9,0,0,0,0,1,0,1,1,0,0,0
416,0,1,0,4650.0,6.0,2014.0,0,0.0,0.0,2015,6,29,27,0,1,0,0,0,0,1,1,0,0,0
606,3,1,1,2260.0,11.0,2007.0,0,0.0,0.0,2015,4,2,14,0,1,0,0,0,0,0,1,0,0,0
432,5,0,0,810.0,5.0,2013.0,0,0.0,0.0,2015,2,7,6,1,0,0,0,0,0,0,1,0,0,0
678,5,0,0,3250.0,0.0,0.0,1,40.0,2011.0,2015,5,23,21,1,0,0,1,0,0,0,1,0,0,0
720,0,0,0,15320.0,3.0,2011.0,1,14.0,2013.0,2015,2,23,9,0,0,0,0,0,0,1,1,0,0,0
566,4,1,0,3620.0,0.0,0.0,1,40.0,2013.0,2015,6,19,25,0,1,0,0,0,0,0,1,0,0,0
376,3,1,1,160.0,8.0,2012.0,0,0.0,0.0,2015,7,30,31,0,1,0,0,0,0,0,1,0,0,0
566,1,0,0,3620.0,0.0,0.0,1,40.0,2013.0,2015,4,21,17,0,0,0,0,0,0,0,1,0,0,0
1036,5,0,0,9560.0,0.0,0.0,1,36.0,2013.0,2015,4,4,14,1,0,0,0,1,0,1,1,0,0,0
672,1,1,0,240.0,9.0,2002.0,0,0.0,0.0,2015,2,3,6,0,1,0,1,0,0,0,1,0,0,0
850,1,0,0,1120.0,5.0,2007.0,1,31.0,2013.0,2015,1,20,4,0,0,0,0,1,0,0,1,0,0,0
423,6,0,0,1270.0,5.0,2014.0,0,0.0,0.0,2015,4,26,17,1,0,1,0,0,0,0,1,0,0,0
1089,3,1,1,5220.0,5.0,2009.0,0,0.0,0.0,2015,7,2,27,0,1,0,0,1,0,0,1,0,0,0
636,0,1,0,720.0,10.0,2004.0,1,13.0,2010.0,2015,7,13,29,0,1,0,1,0,0,0,1,0,0,0
91,5,0,0,2410.0,0.0,0.0,1,35.0,2011.0,2015,1,17,3,1,0,0,1,0,0,0,1,0,0,0
337,5,0,0,10600.0,7.0,2005.0,1,45.0,2014.0,2015,2,21,8,1,0,0,0,1,0,1,1,0,0,0
286,5,0,0,1460.0,4.0,2015.0,0,0.0,0.0,2015,1,3,1,1,0,0,0,0,0,0,1,0,0,0
224,0,1,1,7930.0,0.0,0.0,1,1.0,2013.0,2015,1,5,2,0,1,0,0,1,0,1,1,0,0,0
1073,1,1,0,1710.0,0.0,0.0,1,44.0,2012.0,2015,6,2,23,0,1,0,0,0,0,1,1,0,0,0
575,3,0,0,960.0,5.0,2008.0,1,13.0,2010.0,2015,7,23,30,0,0,0,0,0,0,0,1,0,0,0
355,1,0,0,9720.0,8.0,2013.0,0,0.0,0.0,2015,3,10,11,0,0,0,0,0,0,1,1,0,0,0
44,5,0,0,540.0,6.0,2011.0,0,0.0,0.0,2015,1,31,5,1,0,0,0,0,0,0,1,0,0,0
364,5,0,0,13620.0,0.0,0.0,1,10.0,2014.0,2015,5,23,21,1,0,0,0,0,0,1,1,0,0,0
815,4,0,1,590.0,1.0,1900.0,1,40.0,2014.0,2015,1,2,1,0,0,0,0,0,0,0,1,0,0,0
459,0,0,0,250.0,9.0,2008.0,1,5.0,2013.0,2015,7,6,28,0,0,0,0,0,0,0,1,0,0,0
45,2,1,1,9710.0,2.0,2014.0,0,0.0,0.0,2015,7,29,31,0,1,0,0,1,0,0,1,0,0,0
644,3,1,0,4030.0,12.0,2004.0,1,14.0,2011.0,2015,6,18,25,0,1,0,1,0,0,0,1,0,0,0
350,3,0,0,8880.0,0.0,0.0,1,14.0,2011.0,2015,7,9,28,0,0,0,0,1,0,0,1,0,0,0
683,4,1,0,2850.0,7.0,2014.0,0,0.0,0.0,2015,5,8,19,0,1,0,0,0,0,0,1,0,0,0
639,3,0,0,7780.0,11.0,2006.0,0,0.0,0.0,2015,4,23,17,0,0,0,0,0,0,0,1,0,0,0
453,4,0,0,75860.0,0.0,0.0,0,0.0,0.0,2015,4,24,17,0,0,0,0,0,0,1,1,0,0,0
290,4,0,0,4150.0,5.0,2001.0,0,0.0,0.0,2015,3,13,11,0,0,0,0,0,0,0,1,0,0,0
834,3,1,0,3470.0,3.0,2012.0,0,0.0,0.0,2015,3,19,12,0,1,0,0,0,0,0,1,0,0,0
132,1,0,1,1040.0,0.0,0.0,1,27.0,2012.0,2015,4,7,15,0,0,0,0,1,0,1,1,0,0,0
129,1,0,1,2460.0,0.0,0.0,1,14.0,2011.0,2015,4,7,15,0,0,0,0,0,0,0,1,0,0,0
953,1,1,0,19830.0,4.0,2006.0,1,22.0,2011.0,2015,4,28,18,0,1,0,0,0,0,0,1,0,0,0
122,1,1,0,58260.0,4.0,2013.0,0,0.0,0.0,2015,1,27,5,0,1,0,0,0,0,1,1,0,0,0
24,3,1,0,4590.0,3.0,2000.0,1,40.0,2011.0,2015,5,7,19,0,1,0,0,0,0,1,1,0,0,0
247,0,1,1,70.0,11.0,2010.0,1,5.0,2013.0,2015,1,5,2,0,1,0,0,1,0,1,1,0,0,0
563,3,0,1,700.0,3.0,2015.0,1,10.0,2014.0,2015,7,9,28,0,0,0,0,0,0,0,1,0,0,0
837,4,1,0,14600.0,4.0,2015.0,0,0.0,0.0,2015,5,8,19,0,1,0,0,0,0,1,1,0,0,0
675,1,1,0,2100.0,8.0,2013.0,1,14.0,2011.0,2015,6,2,23,0,1,0,0,0,0,0,1,0,0,0
26,4,0,0,2300.0,0.0,0.0,0,0.0,0.0,2015,2,13,7,0,0,0,0,1,0,0,1,0,0,0
270,3,1,0,1450.0,7.0,2014.0,0,0.0,0.0,2015,1,15,3,0,1,0,0,0,0,0,1,0,0,0
65,4,0,0,13840.0,5.0,2010.0,1,1.0,2012.0,2015,3,13,11,0,0,0,0,0,0,1,1,0,0,0
79,2,0,0,3320.0,0.0,0.0,0,0.0,0.0,2015,2,25,9,0,0,0,0,0,0,0,1,0,0,0
470,0,1,0,50.0,0.0,0.0,0,0.0,0.0,2015,2,2,6,0,1,0,0,0,0,1,1,0,0,0
242,4,1,0,6880.0,9.0,2001.0,1,14.0,2011.0,2015,7,3,27,0,1,0,0,1,0,0,1,0,0,0
953,1,0,0,19830.0,4.0,2006.0,1,22.0,2011.0,2015,7,7,28,0,0,0,0,0,0,0,1,0,0,0
1102,4,1,0,850.0,11.0,2012.0,1,40.0,2014.0,2015,5,22,21,0,1,0,0,0,0,0,1,0,0,0
989,4,1,0,1640.0,6.0,2006.0,1,40.0,2011.0,2015,7,3,27,0,1,0,0,0,0,0,1,0,0,0
558,5,0,0,3000.0,2.0,2010.0,0,0.0,0.0,2015,5,9,19,1,0,0,0,0,0,0,1,0,0,0
1038,3,0,0,17290.0,10.0,2013.0,0,0.0,0.0,2015,2,26,9,0,0,0,0,1,0,0,1,0,0,0
590,4,1,0,4520.0,9.0,2010.0,1,31.0,2013.0,2015,3,20,12,0,1,0,0,1,0,1,1,0,0,0
274,6,0,0,3640.0,0.0,0.0,1,10.0,2013.0,2015,7,5,27,1,0,1,0,0,1,0,1,0,0,0
387,4,1,0,210.0,0.0,0.0,1,36.0,2013.0,2015,1,16,3,0,1,0,1,0,0,0,1,0,0,0
533,5,0,0,5950.0,0.0,0.0,0,0.0,0.0,2015,1,17,3,1,0,0,0,0,0,1,1,0,0,0
404,2,1,0,1420.0,0.0,0.0,1,10.0,2013.0,2015,3,4,10,0,1,0,0,0,0,1,1,0,0,0
77,1,0,0,1090.0,8.0,2009.0,1,10.0,2014.0,2015,7,21,30,0,0,0,0,1,0,1,1,0,0,0
478,5,0,0,1940.0,3.0,2012.0,0,0.0,0.0,2015,3,21,12,1,0,0,0,1,0,1,1,0,0,0
370,1,0,0,8250.0,10.0,2000.0,1,31.0,2009.0,2015,6,9,24,0,0,0,0,1,0,0,1,0,0,0
216,4,0,0,190.0,0.0,0.0,1,45.0,2009.0,2015,2,27,9,0,0,0,1,0,0,0,1,0,0,0
947,4,0,0,460.0,3.0,2014.0,1,13.0,2010.0,2015,5,15,20,0,0,0,0,0,0,0,1,0,0,0
452,0,1,0,1850.0,8.0,2013.0,1,5.0,2011.0,2015,3,16,12,0,1,0,0,0,0,1,1,0,0,0
1053,2,1,0,1710.0,7.0,2015.0,0,0.0,0.0,2015,7,15,29,0,1,0,0,0,0,0,1,0,0,0
148,0,1,0,2090.0,12.0,2008.0,0,0.0,0.0,2015,1,26,5,0,1,0,0,0,0,0,1,0,0,0
926,1,0,1,5150.0,3.0,2011.0,1,13.0,2010.0,2015,4,7,15,0,0,0,0,1,0,1,1,0,0,0
288,5,0,0,800.0,0.0,0.0,1,14.0,2011.0,2015,4,11,15,1,0,0,0,1,0,0,1,0,0,0
543,4,0,0,1080.0,12.0,2012.0,0,0.0,0.0,2015,5,15,20,0,0,0,1,0,0,0,1,0,0,0
888,1,1,0,4450.0,6.0,2012.0,1,35.0,2012.0,2015,1,27,5,0,1,0,0,1,0,0,1,0,0,0
924,0,1,0,6420.0,4.0,2011.0,1,1.0,2012.0,2015,2,2,6,0,1,0,0,0,0,0,1,0,0,0
1087,4,1,0,2210.0,11.0,2011.0,0,0.0,0.0,2015,7,17,29,0,1,0,0,1,0,1,1,0,0,0
624,4,1,0,6920.0,9.0,2011.0,0,0.0,0.0,2015,1,30,5,0,1,0,0,0,0,1,1,0,0,0
1045,0,1,0,26990.0,12.0,2013.0,0,0.0,0.0,2015,6,1,23,0,1,0,0,0,0,1,1,0,0,0
604,5,0,0,10950.0,3.0,2014.0,0,0.0,0.0,2015,1,24,4,1,0,0,0,1,0,0,1,0,0,0
183,3,0,0,9670.0,0.0,0.0,0,0.0,0.0,2015,4,23,17,0,0,0,0,0,0,0,1,0,0,0
1040,4,1,1,4030.0,2.0,2013.0,1,10.0,2014.0,2015,7,31,31,0,1,0,0,0,0,0,1,0,0,0
608,4,0,1,18370.0,2.0,2013.0,1,14.0,2011.0,2015,2,13,7,0,0,0,0,0,0,1,1,0,0,0
569,4,0,0,1340.0,9.0,2006.0,0,0.0,0.0,2015,7,10,28,0,0,0,0,0,0,0,1,0,0,0
197,3,1,0,4210.0,3.0,2015.0,0,0.0,0.0,2015,4,30,18,0,1,0,1,0,0,0,1,0,0,0
983,5,0,0,40.0,3.0,2014.0,1,1.0,2014.0,2015,3,14,11,1,0,0,0,0,0,0,1,0,0,0
835,3,0,0,2890.0,12.0,2007.0,1,10.0,2014.0,2015,4,23,17,0,0,0,0,0,0,0,1,0,0,0
893,4,1,0,130.0,0.0,0.0,1,1.0,2013.0,2015,3,6,10,0,1,0,0,0,0,0,1,0,0,0
698,1,0,0,1790.0,5.0,2011.0,0,0.0,0.0,2015,2,24,9,0,0,0,0,0,0,0,1,0,0,0
133,4,0,0,270.0,8.0,2013.0,1,10.0,2014.0,2015,3,27,13,0,0,0,0,0,0,0,1,0,0,0
801,2,1,0,48330.0,4.0,2013.0,0,0.0,0.0,2015,7,1,27,0,1,0,0,1,0,0,1,0,0,0
716,4,0,0,3200.0,1.0,2008.0,1,22.0,2011.0,2015,6,12,24,0,0,0,0,1,0,0,1,0,0,0
836,3,1,0,2720.0,9.0,2012.0,0,0.0,0.0,2015,2,5,6,0,1,0,0,0,0,0,1,0,0,0
762,4,0,0,1280.0,0.0,0.0,1,10.0,2013.0,2015,6,26,26,0,0,0,0,1,0,1,1,0,0,0
1041,5,0,0,1600.0,8.0,2013.0,1,40.0,2014.0,2015,1,10,2,1,0,0,1,0,0,0,1,0,0,0
826,3,1,0,7980.0,6.0,2005.0,0,0.0,0.0,2015,4,30,18,0,1,0,0,0,0,1,1,0,0,0
871,4,0,0,10620.0,0.0,0.0,0,0.0,0.0,2015,7,24,30,0,0,0,0,1,0,1,1,0,0,0
103,3,0,1,5210.0,5.0,2015.0,0,0.0,0.0,2015,7,23,30,0,0,0,0,1,0,1,1,0,0,0
122,6,0,0,58260.0,4.0,2013.0,0,0.0,0.0,2015,5,3,18,1,0,0,0,0,0,1,1,0,0,0
1064,0,1,0,420.0,0.0,0.0,0,0.0,0.0,2015,6,15,25,0,1,0,0,0,0,1,1,0,0,0
725,2,1,0,17540.0,6.0,2012.0,0,0.0,0.0,2015,5,6,19,0,1,0,0,1,0,1,1,0,0,0
1056,2,1,1,5350.0,0.0,0.0,1,40.0,2012.0,2015,2,18,8,0,1,0,0,1,0,1,1,0,0,0
102,5,0,0,150.0,12.0,2007.0,1,10.0,2014.0,2015,5,9,19,1,0,0,0,0,0,0,1,0,0,0
363,5,0,0,250.0,9.0,2009.0,0,0.0,0.0,2015,6,20,25,1,0,0,0,0,0,0,1,0,0,0
982,5,0,0,21930.0,0.0,0.0,0,0.0,0.0,2015,5,9,19,1,0,0,0,1,0,0,1,0,0,0
649,0,1,1,14570.0,11.0,2002.0,0,0.0,0.0,2015,2,2,6,0,1,0,0,0,0,0,1,0,0,0
807,5,0,0,3870.0,4.0,2008.0,0,0.0,0.0,2015,2,14,7,1,0,0,0,0,0,0,1,0,0,0
394,4,0,0,10850.0,0.0,0.0,0,0.0,0.0,2015,1,23,4,0,0,0,0,1,0,0,1,0,0,0
588,5,0,0,15720.0,3.0,2010.0,0,0.0,0.0,2015,5,16,20,1,0,0,0,1,0,1,1,0,0,0
417,1,1,1,840.0,0.0,0.0,1,10.0,2014.0,2015,7,28,31,0,1,0,0,0,0,1,1,0,0,0
55,2,0,0,720.0,11.0,2004.0,0,0.0,0.0,2015,6,24,26,0,0,0,0,0,0,0,1,0,0,0
479,1,1,0,320.0,12.0,2005.0,1,9.0,2011.0,2015,1,13,3,0,1,0,0,0,0,0,1,0,0,0
126,3,1,0,3370.0,10.0,2014.0,1,18.0,2011.0,2015,6,18,25,0,1,0,0,1,0,0,1,0,0,0
184,3,1,0,3560.0,0.0,0.0,0,0.0,0.0,2015,6,18,25,0,1,0,0,1,0,1,1,0,0,0
194,3,0,0,16970.0,0.0,0.0,1,5.0,2013.0,2015,3,26,13,0,0,0,0,1,0,1,1,0,0,0
809,5,0,0,12770.0,10.0,2000.0,0,0.0,0.0,2015,5,23,21,1,0,0,0,0,0,0,1,0,0,0
577,4,1,0,2270.0,0.0,0.0,1,35.0,2012.0,2015,5,8,19,0,1,0,0,0,0,1,1,0,0,0
729,1,1,1,8980.0,6.0,2011.0,0,0.0,0.0,2015,7,14,29,0,1,0,1,0,0,1,1,0,0,0
954,4,1,1,390.0,2.0,2013.0,1,10.0,2014.0,2015,7,3,27,0,1,0,0,0,0,0,1,0,0,0
595,3,1,0,1130.0,6.0,2015.0,0,0.0,0.0,2015,7,2,27,0,1,0,1,0,0,1,1,0,0,0
221,4,0,0,13530.0,9.0,2013.0,0,0.0,0.0,2015,2,13,7,0,0,0,0,1,0,1,1,0,0,0
702,4,0,0,8550.0,9.0,2001.0,1,45.0,2009.0,2015,2,13,7,0,0,0,0,0,0,0,1,0,0,0
779,1,1,0,16990.0,4.0,2004.0,0,0.0,0.0,2015,1,6,2,0,1,0,0,0,0,0,1,0,0,0
807,1,1,0,3870.0,4.0,2008.0,0,0.0,0.0,2015,5,5,19,0,1,0,0,0,0,0,1,0,0,0
127,5,0,0,1350.0,12.0,2005.0,1,13.0,2010.0,2015,6,27,26,1,0,0,0,1,0,0,1,0,0,0
283,4,1,0,2260.0,0.0,0.0,1,40.0,2014.0,2015,1,16,3,0,1,0,0,0,0,0,1,0,0,0
813,4,1,0,1560.0,9.0,2003.0,0,0.0,0.0,2015,6,19,25,0,1,0,0,0,0,0,1,0,0,0
270,4,0,0,1450.0,7.0,2014.0,0,0.0,0.0,2015,4,24,17,0,0,0,0,0,0,0,1,0,0,0
1080,0,1,0,2410.0,0.0,0.0,1,40.0,2014.0,2015,4,13,16,0,1,0,0,0,0,0,1,0,0,0
742,5,0,0,4380.0,0.0,0.0,0,0.0,0.0,2015,5,2,18,1,0,0,0,1,0,1,1,0,0,0
532,2,0,0,1070.0,8.0,2010.0,0,0.0,0.0,2015,5,27,22,0,0,0,0,0,0,1,1,0,0,0
378,3,1,0,2140.0,8.0,2012.0,0,0.0,0.0,2015,5,7,19,0,1,0,0,0,0,1,1,0,0,0
711,1,0,0,17110.0,3.0,2007.0,1,5.0,2010.0,2015,6,9,24,0,0,0,0,1,0,0,1,0,0,0
805,3,0,0,24770.0,10.0,2011.0,1,10.0,2014.0,2015,2,26,9,0,0,0,0,1,0,0,1,0,0,0
1010,5,0,0,4610.0,6.0,2010.0,1,18.0,2010.0,2015,1,3,1,1,0,0,0,1,0,1,1,0,0,0
967,1,0,0,3560.0,9.0,2013.0,1,36.0,2013.0,2015,6,9,24,0,0,0,0,0,0,1,1,0,0,0
190,0,1,0,1470.0,12.0,2006.0,1,40.0,2014.0,2015,2,2,6,0,1,0,0,0,0,0,1,0,0,0
945,1,0,0,12480.0,3.0,2011.0,0,0.0,0.0,2015,3,10,11,0,0,0,0,0,0,1,1,0,0,0
193,4,1,0,520.0,0.0,0.0,0,0.0,0.0,2015,7,3,27,0,1,0,0,0,0,0,1,0,0,0
780,0,0,0,18160.0,0.0,0.0,0,0.0,0.0,2015,4,20,17,0,0,0,0,0,0,0,1,0,0,0
408,1,1,0,1560.0,0.0,0.0,1,45.0,2009.0,2015,1,27,5,0,1,0,1,0,0,0,1,0,0,0
828,0,0,1,3290.0,12.0,2014.0,0,0.0,0.0,2015,2,9,7,0,0,0,0,1,0,1,1,0,0,0
987,3,0,0,1690.0,6.0,2007.0,0,0.0,0.0,2015,7,9,28,0,0,0,1,0,0,0,1,0,0,0
769,2,1,0,840.0,0.0,0.0,1,48.0,2012.0,2015,4,15,16,0,1,1,0,0,1,0,1,0,0,0
